Player,Team,Affiliation,Year,"Round
 Number","Round
 Pick","Overall
 Pick"
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> James Douglas <!---->","<a ng-href=""/stats/team/1610612746/"" href=""/stats/team/1610612746/"">Buffalo Braves",Memphis,1971,16,2,226
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Bob Bissant <!---->","<a ng-href=""/stats/team/1610612741/"" href=""/stats/team/1610612741/"">Chicago Bulls",Loyola (LA),1971,16,5,229
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Fred Holden <!---->","<a ng-href=""/stats/team/1610612741/"" href=""/stats/team/1610612741/"">Chicago Bulls",Louisville,1968,16,2,191
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Buddy Cornelius <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">Atlanta Hawks",Jacksonville State,1969,16,5,199
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Tom O'Connor <!---->","<a ng-href=""/stats/team/1610612739/"" href=""/stats/team/1610612739/"">Cleveland Cavaliers",Iowa State,1973,16,3,201
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Jimmy Dawson <!---->","<a ng-href=""/stats/team/1610612741/"" href=""/stats/team/1610612741/"">Chicago Bulls",Illinois,1967,16,2,154
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Stephen Wilson <!---->","<a ng-href=""/stats/team/1610612739/"" href=""/stats/team/1610612739/"">Cleveland Cavaliers",Hanover,1970,16,5,227
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Paul Favorite <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",Georgetown,1970,16,3,225
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Pete Walthour <!---->","<a ng-href=""/stats/team/1610612747/"" href=""/stats/team/1610612747/"">Los Angeles Lakers",Fort Valley State,1970,16,6,228
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Larry Rafferty <!---->","<a ng-href=""/stats/team/1610612755/"" href=""/stats/team/1610612755/"">Philadelphia 76ers",Fairfield,1965,16,2,106
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Harvey Mariatt <!---->","<a ng-href=""/stats/team/1610612765/"" href=""/stats/team/1610612765/"">Detroit Pistons",Eastern Michigan,1970,16,2,224
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Bob Tolan <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">St. Louis Hawks",Eastern Kentucky,1965,16,3,107
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Fred Smiley <!---->","<a ng-href=""/stats/team/1610612765/"" href=""/stats/team/1610612765/"">Detroit Pistons",Detroit Mercy,1971,16,4,228
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Jack McCarthy <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",Dayton,1958,16,1,86
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Wayne Huckel <!---->","<a ng-href=""/stats/team/1610612756/"" href=""/stats/team/1610612756/"">Phoenix Suns",Davidson,1969,16,1,195
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Wally Roundsville <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">St. Louis Hawks",Caltech,1962,16,2,100
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Mose Adolph <!---->","<a ng-href=""/stats/team/1610612757/"" href=""/stats/team/1610612757/"">Portland Trail Blazers",Cal State-Los Angeles,1972,16,1,193
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Eddie Jackson <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">St. Louis Hawks",Bradley,1966,16,1,108
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Sam Barber <!---->","<a ng-href=""/stats/team/1610612738/"" href=""/stats/team/1610612738/"">Boston Celtics",Bethune-Cookman,1973,16,4,202
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Terry Allerton <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">Atlanta Hawks",Baldwin Wallace,1968,16,7,196
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Dick Harris <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",,1968,16,4,193
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Will Teague <!---->","<a ng-href=""/stats/team/1610612747/"" href=""/stats/team/1610612747/"">Los Angeles Lakers",Youngstown State,1970,15,8,221
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Larry Baker <!---->","<a ng-href=""/stats/team/1610612739/"" href=""/stats/team/1610612739/"">Cleveland Cavaliers",Wittenberg,1971,15,1,217
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Mike Drepling <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",Westminster (PA),1968,15,4,185
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Mike Neer <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",Washington & Lee,1970,15,3,216
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Jay Bond <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">San Diego Rockets",Washington,1970,15,1,214
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Rich Haubeggar <!---->","<a ng-href=""/stats/team/1610612757/"" href=""/stats/team/1610612757/"">Portland Trail Blazers",Wake Forest,1972,15,1,188
"<!----><a ng-href=""/stats/player/77406/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/77406/""> Paul Long <!----> <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">St. Louis Hawks",Wake Forest,1966,15,1,106
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Loyd King <!---->","<a ng-href=""/stats/team/1610612749/"" href=""/stats/team/1610612749/"">Milwaukee Bucks",Virginia Tech,1971,15,8,224
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Norm Carmichael <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">Atlanta Hawks",Virginia,1969,15,5,193
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Sherman Dillard <!---->","<a ng-href=""/stats/team/1610612755/"" href=""/stats/team/1610612755/"">Philadelphia 76ers",Tulsa,1967,15,4,151
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Jerry Nickens <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">San Diego Rockets",Tougaloo,1969,15,4,192
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Reese Stovall <!---->","<a ng-href=""/stats/team/1610612739/"" href=""/stats/team/1610612739/"">Cleveland Cavaliers",Texas-Pan American,1973,15,3,196
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Bob Beamon <!---->","<a ng-href=""/stats/team/1610612756/"" href=""/stats/team/1610612756/"">Phoenix Suns",Texas-El Paso,1969,15,1,189
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Greg Lowery <!---->","<a ng-href=""/stats/team/1610612741/"" href=""/stats/team/1610612741/"">Chicago Bulls",Texas Tech,1972,15,5,192
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Mickey McCarthy <!---->","<a ng-href=""/stats/team/1610612741/"" href=""/stats/team/1610612741/"">Chicago Bulls",Texas Christian,1968,15,2,183
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Bill Gaines <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">San Diego Rockets",Texas A&M-Commerce,1968,15,1,182
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Howard Bayne <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Tennessee,1966,15,2,107
"<!----><a ng-href=""/stats/player/76125/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/76125/""> Johnny Baum <!----> <!---->","<a ng-href=""/stats/team/1610612747/"" href=""/stats/team/1610612747/"">Los Angeles Lakers",Temple,1968,15,6,187
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> W. Shorty Simmons <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Capital Bullets",St. Mary's (MD),1973,15,4,197
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Paul Hoffman <!---->","<a ng-href=""/stats/team/1610612746/"" href=""/stats/team/1610612746/"">Buffalo Braves",St. Bonaventure,1972,15,2,189
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Dennis Clark <!---->","<a ng-href=""/stats/team/1610612765/"" href=""/stats/team/1610612765/"">Detroit Pistons",Springfield,1970,15,2,215
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Ernie Powell <!---->","<a ng-href=""/stats/team/1610612760/"" href=""/stats/team/1610612760/"">Seattle SuperSonics",Southern California,1969,15,3,191
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Vince Kempton <!---->","<a ng-href=""/stats/team/1610612752/"" href=""/stats/team/1610612752/"">New York Knicks",Saint Joseph's,1961,15,1,107
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Sandy Williams <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Saint Francis (PA),1964,15,1,98
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Dave Ricerto <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">St. Louis Hawks",Rhode Island,1962,15,2,98
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Bernie Foster <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">Atlanta Hawks",Point Loma Nazarene,1968,15,7,188
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Mike Jefferies <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Kansas City-Omaha Kings",Oklahoma State,1972,15,3,190
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Ted Rose <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Northern Michigan,1970,15,9,222
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> George Mack <!---->","<a ng-href=""/stats/team/1610612755/"" href=""/stats/team/1610612755/"">Philadelphia 76ers",North Carolina A&T,1968,15,8,189
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> James Morrell <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Norfolk State,1971,15,4,220
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Willie Campbell <!---->","<a ng-href=""/stats/team/1610612760/"" href=""/stats/team/1610612760/"">Seattle SuperSonics",Nebraska,1967,15,5,152
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Ducky Potter <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",Moravian,1960,15,1,90
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Earl Beechum <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",Midwestern State,1967,15,3,150
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> George Pomey <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">St. Louis Hawks",Michigan,1965,15,3,103
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Walt Williams <!---->","<a ng-href=""/stats/team/1610612756/"" href=""/stats/team/1610612756/"">Phoenix Suns",Miami (OH),1970,15,6,219
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> John Canady <!---->","<a ng-href=""/stats/team/1610612757/"" href=""/stats/team/1610612757/"">Portland Trail Blazers",Miami (FL),1970,15,5,218
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Jerry Bechtal <!---->","<a ng-href=""/stats/team/1610612752/"" href=""/stats/team/1610612752/"">New York Knicks",Maryland,1960,15,2,91
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Rich Peek <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Louisiana Tech,1967,15,1,148
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Stan Wiodarszek <!---->","<a ng-href=""/stats/team/1610612749/"" href=""/stats/team/1610612749/"">Milwaukee Bucks",La Salle,1969,15,2,190
"<!----><a ng-href=""/stats/player/78178/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/78178/""> Adrian Smith <!----> <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",Kentucky,1958,15,1,85
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Pat McKenzie <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Chicago Zephyrs",Kansas State,1962,15,1,97
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Gary Handleman <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Johns Hopkins,1972,15,4,191
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Jodie Harrison <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Illinois,1969,15,6,194
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Ed Fellers <!---->","<a ng-href=""/stats/team/1610612752/"" href=""/stats/team/1610612752/"">New York Knicks",Guilford,1968,15,5,186
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Terry Guigg <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">Houston Rockets",Gonzaga,1971,15,3,219
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Ronald Scharf <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",Georgia Tech,1965,15,4,104
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> John Fraley <!---->","<a ng-href=""/stats/team/1610612746/"" href=""/stats/team/1610612746/"">Buffalo Braves",Georgia,1973,15,2,195
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> James Pitts <!---->","<a ng-href=""/stats/team/1610612755/"" href=""/stats/team/1610612755/"">Philadelphia 76ers",Georgia,1965,15,2,102
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Liscio Thomas <!---->","<a ng-href=""/stats/team/1610612741/"" href=""/stats/team/1610612741/"">Chicago Bulls",Furman,1971,15,7,223
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> James Gilchrist <!---->","<a ng-href=""/stats/team/1610612738/"" href=""/stats/team/1610612738/"">Boston Celtics",Florida Southern,1973,15,5,198
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Ron Pickett <!---->","<a ng-href=""/stats/team/1610612752/"" href=""/stats/team/1610612752/"">New York Knicks",Eastern Kentucky,1963,15,1,83
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Rick Wanamaker <!---->","<a ng-href=""/stats/team/1610612739/"" href=""/stats/team/1610612739/"">Cleveland Cavaliers",Drake,1970,15,4,217
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Jim Garza <!---->","<a ng-href=""/stats/team/1610612741/"" href=""/stats/team/1610612741/"">Chicago Bulls",Detroit Tech,1967,15,2,149
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Al Cech <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">St. Louis Hawks",Detroit Mercy,1964,15,2,99
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Lionel Harris <!---->","<a ng-href=""/stats/team/1610612755/"" href=""/stats/team/1610612755/"">Philadelphia 76ers",Cincinnati,1973,15,1,194
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Joe Allen <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Bradley,1968,15,3,184
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Paul Otay <!---->","<a ng-href=""/stats/team/1610612741/"" href=""/stats/team/1610612741/"">Chicago Bulls",Boise State,1970,15,7,220
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Curtis Carter <!---->","<a ng-href=""/stats/team/1610612756/"" href=""/stats/team/1610612756/"">Phoenix Suns",Bishop,1971,15,6,222
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> William Chatmon <!---->","<a ng-href=""/stats/team/1610612746/"" href=""/stats/team/1610612746/"">Buffalo Braves",Baylor,1971,15,2,218
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> James Fleming <!---->","<a ng-href=""/stats/team/1610612765/"" href=""/stats/team/1610612765/"">Detroit Pistons",Alcorn State,1971,15,5,221
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Dave Hicks <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",,1965,15,1,101
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Bob Mahland <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Chicago Zephyrs",Williams,1962,14,1,95
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Marv Schmitt <!---->","<a ng-href=""/stats/team/1610612756/"" href=""/stats/team/1610612756/"">Phoenix Suns",Western New Mexico,1969,14,1,180
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Ray Golson <!---->","<a ng-href=""/stats/team/1610612756/"" href=""/stats/team/1610612756/"">Phoenix Suns",West Texas A&M,1972,14,6,186
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Dave Carr <!---->","<a ng-href=""/stats/team/1610612741/"" href=""/stats/team/1610612741/"">Chicago Bulls",Washington,1968,14,3,174
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Jim Sutherland <!---->","<a ng-href=""/stats/team/1610612760/"" href=""/stats/team/1610612760/"">Seattle SuperSonics",Wake Forest,1967,14,6,147
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Bill Blair <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">St. Louis Hawks",Virginia Military Institute,1964,14,2,97
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Frank Loteridge <!---->","<a ng-href=""/stats/team/1610612757/"" href=""/stats/team/1610612757/"">Portland Trail Blazers",Texas-Pan American,1970,14,5,208
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Jim Harter <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Texas-Pan American,1966,14,2,105
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Larry Franks <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",Texas,1965,14,4,100
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> George Hicker <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">Atlanta Hawks",Syracuse,1968,14,9,180
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Bill Boight <!---->","<a ng-href=""/stats/team/1610612741/"" href=""/stats/team/1610612741/"">Chicago Bulls",Southern Methodist,1969,14,4,183
"<!----><a ng-href=""/stats/player/76336/"" ng-if=""::row.PLAYER_PROFILE_FLAG !== 0"" href=""/stats/player/76336/""> Mack Calvin <!----> <!---->","<a ng-href=""/stats/team/1610612747/"" href=""/stats/team/1610612747/"">Los Angeles Lakers",Southern California,1969,14,8,187
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Jim Hanna <!---->","<a ng-href=""/stats/team/1610612752/"" href=""/stats/team/1610612752/"">New York Knicks",Southern California,1960,14,2,89
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Charles Core <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",Southeastern Louisiana,1968,14,5,176
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> John Tolbert <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">San Diego Rockets",South Carolina State,1967,14,5,146
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Paul Kelley <!---->","<a ng-href=""/stats/team/1610612757/"" href=""/stats/team/1610612757/"">Portland Trail Blazers",Shaw,1972,14,1,181
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Ollie Carter <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">St. Louis Hawks",San Francisco,1966,14,1,104
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Ron Gilliam <!---->","<a ng-href=""/stats/team/1610612746/"" href=""/stats/team/1610612746/"">Buffalo Braves",SUNY Brockport,1973,14,2,190
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Perry Johnson <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Robert Morris,1969,14,9,188
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> John Harlow <!---->","<a ng-href=""/stats/team/1610612752/"" href=""/stats/team/1610612752/"">New York Knicks",Princeton,1968,14,6,177
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Paul Mickey <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Penn State,1967,14,1,142
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Rich Travis <!---->","<a ng-href=""/stats/team/1610612752/"" href=""/stats/team/1610612752/"">New York Knicks",Oklahoma City,1969,14,7,186
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Andrew Pettes <!---->","<a ng-href=""/stats/team/1610612741/"" href=""/stats/team/1610612741/"">Chicago Bulls",Oklahoma,1972,14,7,187
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Mike Dahl <!---->","<a ng-href=""/stats/team/1610612737/"" href=""/stats/team/1610612737/"">Atlanta Hawks",Oglethorpe,1969,14,6,185
