Player,Team,Affiliation,Year,"Round
 Number","Round
 Pick","Overall
 Pick"
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Phil Harris <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",Texas A&M,1969,16,6,200
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Bob Ferguson <!---->","<a ng-href=""/stats/team/1610612752/"" href=""/stats/team/1610612752/"">New York Knicks",Tennessee Wesleyan,1968,16,5,194
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Willie Porter <!---->","<a ng-href=""/stats/team/1610612758/"" href=""/stats/team/1610612758/"">Cincinnati Royals",Tennessee State,1965,16,4,108
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Larry Robinson <!---->","<a ng-href=""/stats/team/1610612755/"" href=""/stats/team/1610612755/"">Philadelphia 76ers",Tennessee,1973,16,1,199
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Doug Williams <!---->","<a ng-href=""/stats/team/1610612757/"" href=""/stats/team/1610612757/"">Portland Trail Blazers",St. Mary's (TX),1970,16,4,226
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Bill Voigt <!---->","<a ng-href=""/stats/team/1610612749/"" href=""/stats/team/1610612749/"">Milwaukee Bucks",Southern Methodist,1969,16,2,196
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Dick Groves <!---->","<a ng-href=""/stats/team/1610612745/"" href=""/stats/team/1610612745/"">San Diego Rockets",San Jose State,1969,16,4,198
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Dennis Blace <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Baltimore Bullets",San Francisco,1968,16,3,192
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Norman Bounds <!---->","<a ng-href=""/stats/team/1610612746/"" href=""/stats/team/1610612746/"">Buffalo Braves",SUNY Brockport,1972,16,2,194
"<!----> <!----><span ng-if=""::row.PLAYER_PROFILE_FLAG === 0""> Norman Majors <!---->","<a ng-href=""/stats/team/1610612764/"" href=""/stats/team/1610612764/"">Chicago Zephyrs",Rockhurst,1962,16,1,99
