PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,SEASON
Udoka Azubuike,C,9.61%,9.25,10.0,6'10.00'',6'11.50'',9'1.00'',259.5,7'7.25'',2020-2021
Paul Eboua,SF-PF,3.80%,9.0,10.25,6'6.00'',6'7.50'',9'0.00'',222.2,7'3.50'',2020-2021
Robert Woodard II,SF,4.50%,9.0,10.75,6'5.50'',6'7.00'',8'9.50'',230.2,7'2.00'',2020-2021
Trent Forrest,PG,5.65%,9.0,9.75,6'3.50'',6'4.75'',8'6.50'',203.0,6'7.50'',2020-2021
Ashton Hagans,PG,4.10%,9.0,9.0,6'1.50'',6'2.50'',8'3.50'',193.0,6'8.00'',2020-2021
Nathan Knight,PF-C,8.20%,9.0,9.5,6'8.00'',6'9.75'',9'1.50'',235.0,7'2.00'',2020-2021
Zeke Nnaji,PF-C,5.90%,9.0,10.5,6'9.25'',6'10.50'',8'9.50'',246.8,7'2.00'',2020-2021
Precious Achiuwa,PF,6.70%,9.0,10.0,6'7.50'',6'8.75'',9'0.50'',234.0,7'0.75'',2020-2021
Mamadi Diakite,PF,7.83%,9.0,10.25,6'8.50'',6'10.25'',8'11.00'',222.1,7'3.75'',2020-2021
Paul Reed Jr.,PF,6.83%,9.0,8.75,6'8.50'',6'9.25'',9'1.50'',219.2,7'2.00'',2020-2021
Nick Richards,C,8.50%,9.0,9.0,6'10.50'',6'11.50'',9'2.00'',241.6,7'2.25'',2020-2021
Isaiah Stewart,C,7.50%,9.0,10.5,6'7.25'',6'8.50'',9'0.50'',243.0,7'4.75'',2020-2021
Kaleb Wesson,C,12.50%,9.0,10.75,6'9.25'',6'10.25'',9'3.50'',252.6,7'3.50'',2020-2021
CJ Elleby,SG-SF,4.20%,8.75,10.0,6'5.50'',6'6.25'',8'4.50'',198.6,6'7.25'',2020-2021
Ty-Shon Alexander,SG,12.30%,8.75,8.75,6'2.00'',6'4.00'',8'4.00'',200.8,6'8.00'',2020-2021
Mason Jones,SG,8.90%,8.75,8.5,6'3.75'',6'5.75'',8'6.50'',207.2,6'7.00'',2020-2021
Jahmi'us Ramsey,SG,3.40%,8.75,9.75,6'2.50'',6'3.75'',8'4.50'',193.4,6'6.00'',2020-2021
Joshua Hall,SF,7.60%,8.75,9.5,6'6.00'',6'7.50'',8'8.50'',196.6,6'11.00'',2020-2021
Cassius Winston,PG,9.00%,8.75,8.25,6'0.50'',6'1.50'',8'1.00'',196.0,6'6.00'',2020-2021
Yoeli Childs,PF,8.20%,8.75,10.0,6'6.00'',6'7.00'',8'10.00'',226.4,6'11.50'',2020-2021
Elijah Hughes,SF-SG,10.20%,8.5,8.75,6'4.75'',6'6.50'',8'5.50'',229.0,6'7.50'',2020-2021
Kenyon Martin Jr.,SF-PF,5.90%,8.5,8.75,6'6.00'',6'7.00'',8'6.00'',213.2,6'7.25'',2020-2021
Jordan Nwora,SF-PF,11.68%,8.5,9.25,6'5.75'',6'7.00'',8'8.00'',223.0,6'10.25'',2020-2021
Lamar Stevens,SF-PF,6.80%,8.5,9.75,6'5.75'',6'6.75'',8'5.00'',228.0,6'9.00'',2020-2021
Karim Mane,PG-SG,3.73%,8.5,9.75,6'5.00'',6'6.00'',8'6.00'',196.0,6'11.00'',2020-2021
Markus Howard,PG,9.91%,8.5,7.75,5'9.50'',5'11.00'',7'7.50'',170.8,6'0.25'',2020-2021
Theo Maledon,PG,2.80%,8.5,10.0,6'4.00'',6'5.00'',8'4.50'',187.4,6'8.75'',2020-2021
Tyler Bey,PF,5.00%,8.5,9.0,6'6.00'',6'7.00'',8'9.50'',212.8,7'1.25'',2020-2021
Jayden Scrubb,SG-SF,3.70%,8.25,9.75,6'5.00'',6'6.25'',8'8.50'',185.2,6'9.50'',2020-2021
Jalen Harris,SG,4.40%,8.25,9.5,6'2.75'',6'4.25'',8'1.50'',193.4,6'7.00'',2020-2021
Isaiah Joe,SG,4.70%,8.25,8.25,6'3.00'',6'4.50'',8'5.00'',170.4,6'7.50'',2020-2021
Cassius Stanley,SG,5.80%,8.25,9.0,6'5.00'',6'6.25'',8'3.50'',201.6,6'7.00'',2020-2021
Devon Dotson,PG,4.60%,8.25,10.0,6'0.50'',6'1.75'',7'11.00'',185.2,6'3.00'',2020-2021
Killian Tillie,PF,12.43%,8.25,9.25,6'8.75'',6'10.00'',8'10.00'',221.6,6'8.00'',2020-2021
Josh Green,SG-SF,6.80%,8.0,8.75,6'4.50'',6'5.50'',8'5.50'',214.0,6'9.75'',2020-2021
Skylar Mays,SG,7.40%,8.0,9.75,6'3.00'',6'4.00'',8'3.00'',204.0,6'6.00'',2020-2021
Immanuel Quickley,SG,8.20%,8.0,8.75,6'2.00'',6'3.00'',8'3.00'',185.8,6'8.25'',2020-2021
Myles Powell,PG-SG,15.80%,8.0,9.0,6'0.50'',6'1.50'',8'3.00'',194.0,6'7.00'',2020-2021
Grant Riller,PG-SG,5.40%,8.0,8.5,6'0.25'',6'1.00'',8'0.50'',178.4,6'5.25'',2020-2021
Tyrell Terry,PG,7.60%,7.5,8.25,6'1.50'',6'3.00'',8'0.00'',170.0,6'1.75'',2020-2021
AJ Lawson,SG-SF,4.40%,8.50,9.25,6'5.5'',6'6.75'',8'3.5'',179.2,6'6.75'',2021-2022
Aaron Wiggins,SG-SF,5.00%,8.75,8.50,6'4.5'',6'5.0'',8'7.0'',190.0,6'9.75'',2021-2022
Ochai Agbaji,SG,4.15%,9.00,8.75,6'4.5'',6'5.5'',8'7.5'',214.4,6'10.0'',2021-2022
James Bouknight,SG,5.50%,8.75,9.00,6'3.5'',6'4.75'',8'5.5'',190.0,6'8.25'',2021-2022
Josh Christopher,SG,5.80%,8.75,8.50,6'3.25'',6'4.5'',8'5.0'',214.8,6'9.25'',2021-2022
Ayo Dosunmu,SG,4.90%,8.50,8.75,6'3.5'',6'5.0'',8'6.0'',194.4,6'10.25'',2021-2022
David Duke Jr.,SG,5.90%,8.50,9.00,6'4.25'',6'5.5'',8'6.5'',203.6,6'8.75'',2021-2022
Jalen Green,SG,-%,-,-,,,,-,,2021-2022
Quentin Grimes,SG,6.60%,8.50,10.00,6'4.0'',6'5.25'',8'5.0'',205.0,6'8.0'',2021-2022
Nah'Shon Hyland,SG,5.80%,8.75,9.00,6'2.0'',6'3.5'',8'5.5'',169.0,6'9.25'',2021-2022
David Johnson,SG,7.50%,8.25,8.50,6'3.25'',6'4.75'',8'8.0'',202.8,6'10.5'',2021-2022
Keon Johnson,SG,4.40%,8.50,9.00,6'3.5'',6'4.75'',8'1.0'',184.8,6'7.25'',2021-2022
Johnny Juzang,SG,8.00%,8.50,9.50,6'5.5'',6'7.0'',8'4.5'',209.0,6'10.5'',2021-2022
Moses Moody,SG,6.80%,9.00,10.00,6'4.5'',6'6.0'',8'9.0'',210.6,7'0.75'',2021-2022
John Petty Jr.,SG,5.60%,8.50,9.00,6'4.5'',6'5.75'',8'7.5'',186.2,6'9.5'',2021-2022
Joshua Primo,SG,6.30%,9.00,10.00,6'4.0'',6'5.0'',8'6.5'',189.0,6'9.25'',2021-2022
Austin Reaves,SG,11.00%,8.00,8.25,6'4.5'',6'5.75'',8'5.0'',197.2,6'6.25'',2021-2022
Jaden Springer,SG,6.30%,8.50,9.75,6'3.0'',6'4.25'',8'3.0'',202.0,6'7.75'',2021-2022
Cam Thomas,SG,-%,-,-,,,,-,,2021-2022
Duane Washington Jr.,SG,5.10%,8.25,8.75,6'2.25'',6'3.75'',8'5.0'',196.8,6'7.75'',2021-2022
Marcus Bagley,SF,7.50%,8.75,8.50,6'6.0'',6'7.75'',8'6.5'',216.8,6'11.0'',2021-2022
Scottie Barnes,SF,5.30%,9.25,10.25,6'7.0'',6'8.0'',9'0.0'',225.4,7'2.75'',2021-2022
Brandon Boston Jr.,SF,6.00%,9.00,9.75,6'5.75'',6'7.0'',8'8.0'',188.0,6'10.75'',2021-2022
Julian Champagnie,SF,8.00%,9.00,8.50,6'6.5'',6'7.5'',8'10.5'',217.4,6'10.0'',2021-2022
Sam Hauser,SF,7.90%,8.25,9.00,6'6.75'',6'8.0'',8'6.0'',217.4,6'9.25'',2021-2022
Aaron Henry,SF,5.60%,8.50,9.25,6'4.5'',6'6.0'',8'7.5'',209.6,6'10.75'',2021-2022
Herbert Jones,SF,5.80%,8.50,9.00,6'6.0'',6'7.25'',8'10.0'',206.4,7'0.25'',2021-2022
Corey Kispert,SF,6.80%,8.75,10.00,6'6.0'',6'7.25'',8'6.0'',223.8,6'7.0'',2021-2022
Jonathan Kuminga,SF,-%,-,-,,,,-,,2021-2022
Scottie Lewis,SF,4.70%,8.75,9.75,6'4.0'',6'5.25'',8'5.5'',187.6,7'0.0'',2021-2022
Isaiah Livers,SF,9.40%,9.00,9.50,6'5.75'',6'7.25'',8'8.5'',231.8,6'9.25'',2021-2022
Trey Murphy III,SF,8.10%,8.50,9.00,6'7.5'',6'9.25'',8'9.5'',206.0,7'0.0'',2021-2022
Terrence Shannon Jr.,SF,6.70%,8.00,8.00,6'5.5'',6'6.5'',8'4.0'',206.6,6'8.25'',2021-2022
Joe Wieskamp,SF,4.10%,8.50,9.25,6'5.75'',6'7.25'',8'7.0'',204.8,6'11.0'',2021-2022
Ziaire Williams,SF,4.40%,9.00,8.75,6'8.25'',6'9.75'',8'10.5'',188.4,6'10.25'',2021-2022
Max Abmas,PG,5.50%,8.00,7.75,5'10.5'',5'11.75'',7'10.0'',161.8,6'1.75'',2021-2022
Jared Butler,PG,5.10%,8.50,8.25,6'2.25'',6'3.75'',8'2.5'',193.0,6'4.0'',2021-2022
Sharife Cooper,PG,-%,-,-,,,,-,,2021-2022
Cade Cunningham,PG,-%,-,-,,,,-,,2021-2022
Carlik Jones,PG,4.50%,8.25,9.00,6'0.0'',6'1.0'',8'1.5'',173.6,6'5.0'',2021-2022
Tre Mann,PG,4.10%,8.00,9.00,6'3.25'',6'4.25'',8'2.5'',177.6,6'4.0'',2021-2022
Miles McBride,PG,6.00%,9.00,9.50,6'1.0'',6'2.5'',8'3.5'',195.2,6'8.75'',2021-2022
Davion Mitchell,PG,6.20%,8.25,8.75,6'0.0'',6'1.25'',8'0.5'',202.4,6'4.25'',2021-2022
Daishen Nix,PG,11.80%,8.50,9.00,6'3.0'',6'4.25'',8'4.0'',225.6,6'6.75'',2021-2022
Jason Preston,PG,5.45%,8.50,9.25,6'3.0'',6'4.0'',8'4.5'',180.6,6'8.5'',2021-2022
DJ Steward,PG,5.00%,8.50,9.00,6'0.75'',6'1.75'',8'2.5'',162.2,6'7.0'',2021-2022
McKinley Wright IV,PG,6.70%,8.50,9.00,5'11.25'',6'0.25'',7'10.0'',192.2,6'5.25'',2021-2022
Marcus Zegarowski,PG,7.20%,8.00,9.50,6'0.75'',6'2.0'',8'0.0'',180.8,6'2.75'',2021-2022
Greg Brown III,PF,5.50%,9.00,9.75,6'7.25'',6'8.5'',8'11.0'',206.4,7'0.25'',2021-2022
Justin Champagnie,PF,6.30%,8.75,8.50,6'5.75'',6'6.75'',8'8.0'',206.4,6'9.5'',2021-2022
Kessler Edwards,PF,4.30%,8.50,8.25,6'7.0'',6'8.0'',8'10.0'',203.0,6'11.25'',2021-2022
RaiQuan Gray,PF,17.30%,9.25,9.00,6'6.5'',6'7.75'',8'9.0'',268.6,6'10.75'',2021-2022
Matt Hurt,PF,15.20%,9.00,9.00,6'8.5'',6'9.5'',8'10.5'',232.4,6'9.5'',2021-2022
Jalen Johnson,PF,4.50%,9.75,10.50,6'7.75'',6'9.25'',8'10.0'',209.6,7'0.25'',2021-2022
Kai Jones,PF,4.70%,9.00,9.50,6'10.0'',6'11.5'',9'2.5'',221.4,7'1.75'',2021-2022
Matthew Mayer,PF,-%,-,-,,,,-,,2021-2022
Evan Mobley,PF,-%,-,-,,,,-,,2021-2022
Isaiah Mobley,PF,12.90%,9.00,10.00,6'8.0'',6'9.75'',8'11.5'',238.0,7'3.0'',2021-2022
Yves Pons,PF,4.00%,9.00,9.25,6'5.5'',6'6.75'',8'8.0'',206.4,7'0.75'',2021-2022
Roko Prkacin,PF,7.00%,8.75,9.25,6'7.5'',6'9.25'',8'11.0'',225.4,6'11.0'',2021-2022
Jeremiah Robinson-Earl,PF,8.90%,9.00,9.75,6'7.75'',6'9.0'',8'9.5'',242.4,6'9.75'',2021-2022
JT Thor,PF,6.10%,9.25,9.50,6'8.5'',6'9.25'',9'2.0'',203.0,7'3.25'',2021-2022
Isaiah Todd,PF,6.20%,9.00,9.75,6'8.75'',6'10.0'',8'11.5'',219.0,7'1.25'',2021-2022
Trendon Watford,PF,10.10%,9.50,9.50,6'7.5'',6'8.75'',8'9.0'',237.4,7'2.25'',2021-2022
Moses Wright,PF,5.60%,9.00,9.50,6'7.75'',6'9.0'',8'11.0'',225.8,7'0.75'',2021-2022
Charles Bassey,C,5.90%,9.00,9.50,6'9.25'',6'10.25'',8'11.5'',230.2,7'3.0'',2021-2022
Luka Garza,C,11.70%,9.00,9.25,6'10.0'',6'11.25'',8'11.5'',242.8,7'1.5'',2021-2022
Ariel Hukporti,C,8.10%,9.50,9.50,6'10.75'',7'0.0'',9'3.5'',246.0,7'2.5'',2021-2022
Isaiah Jackson,C,-%,-,-,,,,-,,2021-2022
Makur Maker,C,14.50%,8.75,9.50,6'10.25'',6'11.25'',9'4.0'',232.2,7'1.75'',2021-2022
Sandro Mamukelashvili,C,7.80%,9.00,9.50,6'9.0'',6'10.0'',8'10.5'',239.8,7'1.25'',2021-2022
Neemias Queta,C,7.60%,9.25,10.50,6'11.25'',7'0.5'',9'4.5'',248.4,7'4.0'',2021-2022
Day'Ron Sharpe,C,-%,-,-,,,,-,,2021-2022
Jericho Sims,C,5.50%,9.00,9.75,6'9.0'',6'10.0'',8'10.0'',250.2,7'3.25'',2021-2022
