Player,Round Number,Round Pick,Overall Pick,Year
Ted Campbell,11,8,121,1967
Rusty Clark,11,4,145,1969
Mark Merkin,11,4,117,1967
Donnie Walsh,11,5,89,1962
Dick Kepley,11,7,98,1961
Carl Short,11,2,93,1961
Rich Dyer,11,1,92,1966
Stan McKenzie,11,3,94,1966
Bill Morgan,11,6,119,1967
Jim Andros,11,2,115,1967
Reggie Brooks,11,8,176,1971
Jerry Chandler,11,6,140,1968
Bill Johnson,11,5,94,1954
Thales McReynolds,11,2,82,1965
Bubba Smith,11,1,114,1967
M. C. Burton,11,2,73,1959
Bill Soens,11,11,145,1968
Joe Harrington,11,7,120,1967
Blaine Henry,11,14,182,1971
Bob Redd,11,7,141,1968
Brad Luchini,11,12,146,1968
Tom Chappelle,11,3,87,1962
Gerald Dreier,11,2,77,1957
Dick Maile,11,5,85,1965
Dick Davies,11,5,79,1960
Charles Edge,11,8,173,1973
Dick Sammons,11,5,96,1961
Jack Evans,11,4,75,1959
Curt Fromal,11,3,83,1965
Frank O'Hara,11,3,92,1954
Larry Frinston,11,9,150,1969
Jeff Slade,11,1,85,1962
Mike Casey,11,1,169,1971
Nick Pino,11,3,116,1967
Bruce Sloan,11,13,154,1969
Gil Reich,11,0,0,1953
Marvin Watkins,11,5,161,1972
Jim McGonigle,11,3,137,1968
Marv Straw,11,2,77,1963
Dick Neal,11,3,78,1957
Ron Boone,11,13,147,1968
Mel Bell,11,13,183,1970
Paul Benes,11,5,76,1959
Bill Meyer,11,1,81,1965
Charles Stickels,11,0,0,1955
Floyd Lewis,11,4,169,1973
Howard Willis,11,3,77,1960
Howard Burford,11,3,171,1971
Corky Whitrow,11,6,97,1961
Ken Davis,11,13,181,1971
Jim Supple,11,8,149,1969
Elliott Karver,11,1,90,1954
Andy Owens,11,4,174,1970
Tom Neimeir,11,9,143,1968
Jim Prokell,11,2,158,1972
Larry Saunders,11,9,177,1971
Fred Lind,11,1,142,1969
Howard Hunt,11,4,95,1961
Clem Pavilonis,11,1,85,1951
Jim Paxson,11,6,95,1954
Weldon Kytle,11,4,84,1965
Jim Walls,11,8,178,1970
Leonardo Epps,11,1,135,1968
Jerry Domerschick,11,2,91,1954
Ken Callaway,11,5,118,1967
Doug Rex,11,6,174,1971
Bob Presley,11,2,143,1969
Loran Bracci,11,10,151,1969
Jimmy Doyle,11,0,0,1950
Doug Howard,11,9,179,1970
Al Smith,11,12,180,1971
Don McClemore,11,6,176,1970
Jim Connolly,11,3,144,1969
Al Dixon,11,4,138,1968
Bob Duklet,11,11,181,1970
Chic Downing,11,7,163,1972
Ron Belton,11,1,171,1970
Chuck Olowski,11,7,175,1971
John Belcher,11,8,164,1972
Bill Warner,11,2,170,1971
Carl Hartman,11,0,0,1955
Levi Wyatt,11,4,172,1971
Bob Andrews,11,6,86,1965
Len Paul,11,6,171,1973
Jim Reynolds,11,5,89,1964
David Coulthard,10,9,214,1982
Dave Kufeld,10,6,205,1980
Chuck Lloyd,10,6,159,1970
Dexter Bailey,10,9,215,1984
Jon Hanley,10,2,208,1983
Joe Viviano,10,1,66,1959
Keith Bloom,10,0,0,1950
Rodney Benson,10,13,215,1981
Craig Summers,10,8,213,1982
Tom Anderson,10,10,196,1978
Bob Coenen,10,18,223,1982
Joe Merten,10,4,207,1981
Romy Thomas,10,5,165,1975
Bob Johnson,10,4,161,1976
Gary Watson,10,4,147,1972
Bill English,10,4,131,1969
Dennis James,10,15,201,1978
Bud Schaeffer,10,0,0,1950
Melvin Maxwell,10,2,205,1981
Gary Carver,10,1,207,1984
Ronnie Carr,10,10,216,1983
Lon Sizemore,10,1,70,1960
John Bates,10,5,204,1980
Dale Blaut,10,11,164,1970
Chuck Taylor,10,12,155,1972
Bob Solomon,10,8,159,1973
Aaron Haskins,10,13,219,1983
Dan Stewart,10,8,151,1972
Jim Meredith,10,1,153,1971
Charlie Sells,10,3,81,1962
Gene Conley,10,0,0,1952
Bruno Boin,10,2,67,1959
Jim Boshart,10,2,104,1967
Frank Stephens,10,4,81,1964
Joe Noertker,10,0,0,1950
Bill Ligon,10,15,175,1974
Steve Turner,10,14,165,1973
Robert Wyendanet,10,5,125,1968
Jim Clesson,10,6,149,1972
Al Cueto,10,3,130,1969
Bill Kusleika,10,2,79,1964
Eric Fleisher,10,7,191,1979
Larry Witherspoon,10,1,162,1974
Calvin Oliver,10,6,158,1971
Albert Culton,10,4,209,1982
Kent Williams,10,13,212,1980
Bruce Featherston,10,18,178,1974
Hugo Cabrera,10,8,165,1976
John DeWitt,10,2,83,1951
Walt McGary,10,10,171,1974
Frank Bartleson,10,14,141,1969
Dwight Waller,10,11,131,1968
Bill Justus,10,13,140,1969
Pete Chudy,10,5,88,1961
Glynn Myrick,10,6,212,1984
Bob Bedell,10,6,90,1966
Phil Jamison,10,15,221,1984
Kevin Rogers,10,16,218,1981
Maurice Harper,10,11,171,1975
Bob Kelly,10,17,223,1983
Gordon Thomas,10,5,189,1979
Bobby Mills,10,3,72,1957
Cortez Collins,10,13,197,1979
Greg Starrick,10,3,155,1971
Barry Brooks,10,10,213,1981
Carl Ritter,10,3,75,1963
Mike Dickerson,10,2,159,1976
Mike Beuscher,10,13,170,1976
Richie Dec,10,5,79,1965
Rod Derline,10,8,169,1974
Korky Nelson,10,17,201,1979
Jerry Bellotti,10,10,170,1975
Fred Lavoroni,10,9,160,1973
Jolly Spight,10,13,156,1972
Bob Heaney,10,7,127,1968
Coby Dietrick,10,2,155,1970
Dick Chapman,10,7,134,1969
Joe Galbo,10,7,109,1967
Keith Smith,10,3,209,1983
Tony Gwynn,10,7,210,1981
Ken Smith,10,16,173,1976
Ron Battle,10,13,164,1973
Rich Falkenbrush,10,5,107,1967
Mickey Fox,10,9,169,1975
Isiah Singletary,10,9,215,1983
Jerry Koch,10,0,0,1955
Tom Lillis,10,0,0,1953
Rick Hockenos,10,16,176,1974
Dick Stewart,10,10,137,1969
Greg Cisson,10,12,132,1968
Earl Sango,10,3,202,1980
Cliff Mosely,10,12,164,1971
Andy Butchko,10,0,0,1950
Ed Huston,10,5,157,1971
John Nolan,10,15,214,1980
Rich Simkus,10,16,222,1983
Andy Rimol,10,9,170,1974
Pete Campbell,10,1,79,1962
Bernie Adams,10,0,0,1950
Guy Manning,10,3,87,1966
Derrick Rowland,10,8,211,1981
Tyree Foster,10,6,166,1975
Terry Peavy,10,4,188,1979
Steve Butcher,10,10,162,1971
Marcus Leite,10,5,162,1976
Art Allen,10,12,172,1975
Ed Stefanski,10,11,168,1976
Dick Mumma,10,5,211,1984
Manuel Raga,10,14,167,1970
Ernest Simons,10,9,195,1978
Ron Jones,10,2,163,1974
Sam Whitehead,10,3,154,1973
Dan Torrey,10,1,82,1951
Felton Sealey,10,19,220,1981
Kelvin Small,10,11,195,1979
Bill Drosdiak,10,7,159,1971
Rich Abrahamson,10,1,128,1969
Glenn Moore,10,4,82,1962
Ronnie McAdoo,10,11,216,1982
Don Youman,10,8,207,1980
Mel Wright,10,1,70,1957
Bo Overton,10,18,224,1983
Mark Tucker,10,5,191,1978
Mike Rooney,10,5,89,1966
Joe Bertrand,10,2,82,1954
Bill Sullivan,10,3,83,1954
Mike Weaver,10,3,123,1968
John Blever,10,9,89,1954
Victor Coleman,10,10,216,1984
Scott Bosanko,10,1,204,1981
Wayne Monson,10,3,86,1961
Paul Dawkins,10,1,185,1979
Darrell Space,10,3,209,1984
Rick Weitzman,10,8,110,1967
Harry Bailey,10,3,160,1976
Willie Davis,10,6,108,1967
Chris Fahrbach,10,9,193,1979
Ken Matthews,10,21,222,1981
Mo Rivers,10,8,168,1975
David Binion,10,15,221,1983
Donald Sinclair,10,12,217,1982
Lee Davis,10,13,133,1968
Sylvester Adams,10,8,128,1968
Wally Briggs,10,3,80,1964
John O'Connell,10,14,174,1974
Ken McComb,10,6,84,1962
Mike Curran,10,16,222,1984
Mike Phillips,10,15,220,1982
Butch Ervin,10,9,111,1967
Harry Foley,10,0,0,1950
Bruce Kaplan,10,4,106,1967
Michael Edwards,10,3,208,1982
Frank Rodriguez,10,8,214,1984
George Knighton,10,5,83,1962
Russell Saunders,10,16,200,1979
Ron Becker,10,15,168,1970
Marvin Buckley,10,11,172,1974
Bruce Chapman,10,3,156,1970
Tim Higgins,10,1,200,1980
Brendy Lee,10,7,168,1974
Tom Baack,10,6,126,1968
John Clune,10,8,88,1954
Mike Muff,10,7,193,1978
John Duncan,10,10,112,1967
Billy Foster,10,4,203,1980
Bill Gillespie,10,1,103,1967
Don Rae,10,6,80,1965
Eugene Jones,10,14,134,1968
Sean Tuohy,10,13,218,1982
Jack Waters,10,2,85,1961
Elisha McSweeney,10,14,171,1976
Don Yates,10,2,86,1966
Roger Johnson,10,4,69,1959
Ron Debillous,10,1,84,1961
Leroy Coleman,10,2,201,1980
Willie Brown,10,2,129,1969
Larry Hedden,10,4,72,1958
Dan Pelekoudas,10,19,225,1984
Ike Person,10,7,213,1983
Dan Fife,10,16,168,1971
Don Curnutt,10,17,170,1970
Glenn Wilkes,10,0,0,1950
Mike Butler,10,1,121,1968
Bob Neumann,10,6,83,1964
Jack Butcher,10,6,75,1957
Keith White,10,17,222,1982
Bill Endicott,10,14,174,1975
Bob Bodell,10,4,155,1973
Theophileus Lloyd,10,0,0,1956
Artie Green,10,20,221,1981
Marcus Washington,10,5,166,1974
Walter Mangham,10,3,72,1960
John Leonard,10,6,211,1982
Richie Garner,10,9,152,1972
Eric Anderson,10,7,167,1975
Greg Hunter,10,10,194,1979
Mike Zedalis,10,0,0,1950
Pete Gaudin,10,3,71,1958
