Player,Round Number,Round Pick,Overall Pick,Year
Al Vilcheck,10,10,153,1972
Will Loftin,10,7,150,1972
Dean Church,10,3,77,1965
Jim Kelly,10,3,164,1974
Ivan Leschinsky,10,10,130,1968
Mike Henderson,10,17,223,1984
Ed Fields,10,12,163,1973
Michael Zeno,10,6,212,1983
Rickey Williams,10,4,190,1978
Ron Rippitoe,10,4,156,1971
Ezra Hill,10,12,218,1984
Steve Cochran,10,15,217,1981
Wayne Molis,10,1,75,1965
Tony Sellari,10,3,68,1959
Alvin Brooks,10,17,219,1981
Joe Hand,10,14,213,1980
Marty Hunt,10,11,154,1972
Kent Hollenbeck,10,3,146,1972
Jim Dinwiddie,10,11,163,1971
Phil Argento,10,12,139,1969
Gerry Calvert,10,4,73,1957
Ernie Kusyner,10,6,157,1973
David Hall,10,5,148,1972
Larry Comley,10,8,91,1961
Jack Parr,10,2,70,1958
Randy Carroll,10,12,211,1980
Ron Loneski,10,6,71,1959
Abe Steward,10,1,152,1973
Robert Estes,10,5,210,1982
Art Johnson,10,7,164,1976
Americus John-Lewis,10,5,74,1960
Wally McCarvill,10,0,0,1955
Durand Walker,10,1,206,1982
Landon Turner,10,21,225,1982
Ken Johnson,10,9,162,1970
Otho Tucker,10,15,172,1976
Nick Connor,10,2,153,1973
Bogie Redmon,10,2,76,1965
Dale Wilkinson,10,16,221,1982
Ralton Way,10,9,212,1981
Carl Lewis,10,2,208,1984
Don Kruze,10,3,105,1967
Gary Shivers,10,1,81,1954
Michael Vicens,10,1,187,1978
Matt Forman,10,0,0,1950
Doug Mills,10,11,217,1984
Richard Moore,10,1,85,1966
Pete Collins,10,13,173,1974
Jim Picka,10,9,136,1969
Vic Kelly,10,2,162,1975
Tom Newell,10,13,165,1971
Glen Fine,10,15,199,1979
Dale Dover,10,9,161,1971
Carl Johnson,10,5,158,1970
Shorty Patterson,10,1,69,1958
Gerald Ross,10,9,208,1980
Willie Polk,10,3,187,1979
Napoleon Johnson,10,14,220,1984
Gary Lechman,10,11,113,1967
Bob Seemer,10,16,169,1970
Colin Anderson,10,0,0,1950
Lamar Heard,10,19,225,1983
Mike Frazier,10,6,209,1981
Steve Martin,10,18,202,1979
Jim Christy,10,1,78,1964
Randy Dunn,10,18,224,1984
Russ Hunt,10,10,161,1973
Gerald Glur,10,1,73,1963
Mark Wilson,10,12,214,1981
Frank McLaughlin,10,11,138,1969
Ed Parchinski,10,7,87,1954
Marshall Lester,10,6,192,1978
Clyde Corley,10,8,214,1983
Mike Toomer,10,20,226,1984
Larry Brewster,10,14,200,1978
Eugene Shy,10,6,163,1976
Kindell Stephens,10,13,166,1970
Phil Rogers,10,17,177,1974
Bill Bowes,10,8,135,1969
Claude White,10,7,158,1973
Israel Oliver,10,8,161,1970
Russ Christianson,10,14,220,1983
Toke Coleman,10,1,154,1970
Ralph Richardson,10,2,80,1962
Charles Alford,10,9,129,1968
Tom Emma,10,4,210,1983
Joe Kennedy,10,2,122,1968
Randy Burkert,10,20,224,1982
Chad Nelson,10,12,196,1979
Joe Taylor,10,7,160,1970
Pete Mullenberg,10,22,223,1981
David Withers,10,14,166,1971
Bernard Randolph,10,11,217,1983
Don Swanson,10,7,91,1966
M. C. Thompson,10,2,74,1963
Joe Kennelly,10,4,73,1960
Paul Wilcox,10,5,70,1959
Mike Maloy,10,4,157,1970
Gordon Fosness,10,2,71,1957
Greg Brandon,10,13,219,1984
Daryl Stovall,10,2,207,1982
Dick Harvey,10,2,71,1960
Paul Gerwin,10,3,84,1951
Jim Ahearn,10,0,0,1955
Tom Faszholz,10,7,90,1961
John Hudson,10,1,158,1976
Alton Byrd,10,2,186,1979
Don Ward,10,2,154,1971
Jack Nichols,10,5,74,1957
James Purcell,10,5,73,1958
Dan Trant,10,22,228,1984
Duane Corribeau,10,7,84,1964
Andy Toth,10,15,167,1971
Jeff Cartwright,10,5,82,1964
Dave Grauzer,10,3,189,1978
Toar Hester,10,0,0,1953
Cleveland McCrae,10,12,218,1983
Robert Turner,10,4,210,1984
Tim Stokes,10,12,169,1976
Tony Britto,10,7,212,1982
Tim Bell,10,7,213,1984
Vic Sison,10,3,206,1981
Kenny Easley,10,14,216,1981
Marvin Thoms,10,6,190,1979
Leo Hill,10,6,89,1961
Jack Davidson,10,6,86,1954
Grant Taylor,10,10,215,1982
Randy Whieldon,10,14,219,1982
Tom Morgan,10,7,206,1980
Kevin Heenan,10,8,192,1979
Lewis Cohen,10,13,199,1978
Kresimir Cosic,10,1,144,1972
Phil Larson,10,4,84,1954
Walter Harrigan,10,2,188,1978
Mike Fahey,10,13,173,1975
Al Smith,10,5,132,1969
Martin Clark,10,21,227,1984
Steve Adelman,10,4,124,1968
Tony Daukas,10,5,85,1954
Steve Connor,10,11,197,1978
Tim Workington,10,16,202,1978
Andy Kupec,10,20,226,1983
Spencer Carlson,10,4,78,1965
Dick Kelly,10,11,162,1973
Dean Martin,10,5,156,1973
Aleksander Belov,10,1,161,1975
Rick Reed,10,4,164,1975
Mark Smed,10,1,207,1983
Greg Boone,10,5,208,1981
Odell Mosteller,10,5,211,1983
Lee Sims,10,6,133,1969
Gary Winston,10,8,194,1978
Steve Schall,10,10,209,1980
Dennis White,10,6,167,1974
Gary Jackson,10,9,166,1976
Mike Moon,10,3,163,1975
Mark Wasley,10,4,165,1974
Gerhardus Schreur,10,10,163,1970
Freddie Lewis,10,4,88,1966
Phil Taylor,10,12,198,1978
Eddie Myers,10,8,160,1971
Gordon Stiles,10,12,165,1970
Robert Williams,10,4,87,1961
Ricky Lewis,10,10,167,1976
Keith McCord,10,14,198,1979
Melvin Crayton,10,11,210,1980
Kent Martens,10,2,145,1972
John Shimko,9,3,187,1984
Bob Fullerton,9,3,140,1973
Ken Ollie,9,5,188,1981
Carl Ashley,9,10,146,1970
Nate DeLong,9,0,0,1950
Jack Brens,9,1,71,1964
Ron Jackson,9,2,69,1963
Sandy Smith,9,7,144,1973
Scott Whitley,9,12,195,1981
Roderick McDonald,9,10,101,1967
Bob Cheeks,9,12,148,1971
Dave Schultz,9,5,189,1984
Walker Banks,9,17,153,1970
Wayne Chapman,9,4,110,1968
Darel Carrier,9,4,74,1964
Joe Dykstra,9,20,204,1983
Charles Kelley,9,7,77,1964
Earl Lloyd,9,0,0,1950
Maurice Robinson,9,7,177,1978
Ralph Houston,9,13,142,1972
Scotty Pierce,9,6,76,1964
Wil Kotchery,9,11,195,1983
Ken Lyles,9,15,199,1982
Howard Thompkins,9,6,189,1981
Charles Bowman,9,1,77,1961
Jackie Dinkins,9,14,150,1971
Greg McCray,9,20,203,1981
Scott McCandlish,9,1,130,1972
Clarence Smith,9,7,143,1971
Eddie Brown,9,10,193,1981
Rich Haws,9,11,155,1975
Jimmy Smith,9,2,108,1968
Leroy Walker,9,4,72,1965
Coby Leavitt,9,14,180,1979
Mervin Jackson,9,14,120,1968
Jim Buskofsky,9,3,147,1974
Larry Cheatham,9,6,119,1969
Julian Hammond,9,5,82,1966
Calvin Grosscup,9,4,66,1957
Hal Cervini,9,2,74,1954
James Hurley,9,8,121,1969
Larry Staverman,9,2,64,1958
Ralph McPherson,9,4,188,1982
Paul Renfro,9,2,181,1980
Lewis Gilcrease,9,0,0,1953
Eugene Kennedy,9,3,139,1971
Gene Schmidt,9,0,0,1950
Carroll Broussard,9,1,70,1962
Ron Filipek,9,9,100,1967
Nick Morken,9,14,198,1982
Ron Wister,9,19,202,1981
Tim Claxton,9,11,181,1978
Clarence Brookins,9,12,118,1968
Tink Van Patton,9,6,68,1958
Marty Headd,9,15,198,1981
Vaughn Harper,9,6,112,1968
Richard Dean,9,7,98,1967
Jim Brown,9,6,68,1957
Bob Savage,9,0,0,1950
Jim Reilly,9,0,0,1950
Larry Jackson,9,14,150,1970
Scott Trobbe,9,13,157,1975
Melvin Roseboro,9,7,191,1984
Gary Gaspard,9,19,203,1983
Harry O'Brien,9,17,201,1982
Gary Tomaszewski,9,12,156,1975
Bob Rozyczko,9,13,153,1976
Jim Satalin,9,2,115,1969
Bill Butler,9,10,116,1968
Bob Sassone,9,0,0,1953
Steve Strange,9,7,83,1961
John Hollinden,9,1,184,1981
Milt Huggins,9,1,167,1979
Gary Wilson,9,15,181,1979
Greg Starrick,9,3,132,1972
Steve Jennings,9,1,114,1969
Roy Irvin,9,6,78,1954
Jerry Shipp,9,5,64,1959
Tom Black,9,2,72,1964
Merle Scott,9,6,190,1982
Jim Graziano,9,5,184,1980
Tony Hafley,9,1,185,1982
Greg Williams,9,4,141,1973
Tom Little,9,4,140,1970
Ernie Durston,9,4,71,1963
Doug Murrey,9,9,192,1981
Sid Williams,9,13,196,1981
Bob Crowe,9,1,78,1951
John Hegwood,9,2,186,1982
Billy Reid,9,3,182,1980
Howard Smith,9,17,157,1976
Art Wilmore,9,7,113,1968
Mike Dodd,9,10,176,1979
Bob Kovach,9,2,142,1976
Bernie Findlay,9,5,67,1960
Archie Talley,9,7,147,1976
Tom Kiefer,9,7,76,1962
Mike O'Brien,9,15,151,1971
Mark Dearborn,9,11,195,1982
Luke Griffin,9,19,198,1980
Mike Hauer,9,12,148,1970
Joe Gallo,9,7,69,1960
Larry Lewis,9,13,126,1969
Greg Reed,9,7,120,1969
John Collins,9,2,131,1972
Kevin Black,9,17,201,1983
Tim Byrne,9,19,203,1982
Pat Caldwell,9,6,83,1966
Bob Castanada,9,6,68,1960
Hosea Champine,9,17,183,1979
Bob Mabry,9,5,141,1970
Mike Perry,9,11,194,1981
Warren Switzer,9,0,0,1950
Bob Vacca,9,13,150,1973
Mike Scearce,9,8,192,1982
Bruce Parkinson,9,15,155,1976
Rudy Williams,9,3,186,1981
Steve Storther,9,10,154,1975
Billy Ryan,9,16,200,1984
Frank Sowinski,9,1,171,1978
Tim van Blommesteyn,9,9,153,1975
Carl Belz,9,3,62,1959
Bill Coon,9,4,188,1984
Mike Deane,9,17,161,1974
Dennis Black,9,18,202,1984
Quintin Braxton,9,5,149,1975
Henry Duckham,9,7,79,1954
Bob Lazor,9,2,64,1957
Bobby Sands,9,13,149,1970
Hugh Faulkner,9,4,81,1951
Peter Baltic,9,3,79,1961
Nick Romanoff,9,0,0,1955
Vince Fritz,9,3,116,1969
Carl Anderson,9,4,80,1961
Larry Holliday,9,5,141,1971
Billy Gaskins,9,8,144,1970
Gary Johnson,9,13,197,1982
Bernard Hill,9,13,197,1983
James Campbell,9,1,185,1983
Ray Orange,9,5,189,1983
Ron Webb,9,7,191,1983
Frank Davis,9,5,72,1963
Calvin Pierce,9,2,186,1984
Ted Evans,9,4,148,1974
Lester Lane,9,0,0,1955
Ron Sepic,9,6,97,1967
Tim Joyce,9,3,169,1979
Larry Krueger,9,2,78,1961
Ruppert Breedlove,9,8,137,1972
Bill Varner,9,18,202,1983
John McCarthy,9,4,66,1958
Brian Jung,9,20,199,1980
Sterling Burke,9,5,118,1969
Al Henningsen,9,0,0,1950
Gene Summers,9,7,84,1966
Jim Smith,9,12,125,1969
Chip Rucker,9,18,201,1981
Al Williams,9,13,192,1980
Joe Hamilton,9,16,152,1970
Jim Mudd,9,4,63,1959
Keith French,9,17,196,1980
Harry Marske,9,3,65,1958
Jim Sutton,9,3,65,1957
Danny Fields,9,8,178,1978
Jay Neary,9,1,69,1965
Art Jones,9,7,190,1981
Ed Biedenbach,9,5,96,1967
Lou Pucillo,9,6,65,1959
Mike Emanuel,9,6,190,1984
Ron Johnson,9,11,151,1976
Herbert Gray,9,6,82,1961
Cecil Exum,9,10,194,1984
George Rautins,9,14,158,1975
Clyde Agnew,9,14,154,1976
Joe Kaufman,9,0,0,1950
Brett Wyatt,9,6,172,1979
Lou Small,9,2,138,1970
Eddie McLeod,9,16,182,1979
Jack Moore,9,5,189,1982
Kevin Sinnett,9,2,168,1979
Ray Hooker,9,18,184,1979
Les Taylor,9,5,142,1973
Ron Johnston,9,8,144,1971
Claude Virden,9,6,142,1970
Dave Schlesser,9,2,146,1975
Larry Strozier,9,7,136,1972
Steve Hamilton,9,5,67,1957
Eric Hays,9,6,150,1975
Bob Cope,9,0,0,1950
Don Wiley,9,11,190,1980
Ken Stalling,9,5,149,1974
Ron Coleman,9,11,102,1967
Calvin Robinson,9,8,148,1976
Joe Gibbon,9,7,69,1957
James Jackson,9,5,171,1979
Corky Taylor,9,14,151,1973
Bill Matson,9,8,77,1962
Dick Garmaker,9,8,80,1954
Gary Deitelhoff,9,14,158,1974
Ben Tower,9,19,203,1984
Kevin Smith,9,9,193,1982
Bill Kelgore,9,8,145,1973
Joe Dixon,9,22,206,1984
Steve McMahon,9,5,134,1972
Henry Brown,9,8,99,1967
John Rice,9,21,205,1983
Edwin Green,9,20,204,1984
Al Skinner,9,16,160,1974
Pete Gayeska,9,10,123,1969
Owen Brown,9,3,147,1975
Will Hetzel,9,15,151,1970
Jay McMillon,9,3,94,1967
Nick Davis,9,5,67,1958
Charles Jones,9,12,196,1983
George Stone,9,9,115,1968
Marc Marotta,9,17,201,1984
Ulice Payne,9,4,174,1978
Gary Rosenberger,9,12,182,1978
Rich Boucher,9,9,188,1980
Roger Lapham,9,8,174,1979
Vince Leta,9,3,75,1954
Greg Goorjiam,9,6,190,1983
Joel Hittleman,9,4,76,1954
Corky Bell,9,3,109,1968
Billy Smith,9,4,81,1966
David Pickett,9,9,149,1976
John Tudor,9,14,198,1984
Riley Clarida,9,3,187,1982
Al Grant,9,2,79,1966
Rob Torresdal,9,5,145,1976
Terry Martin,9,14,197,1981
Ray Cronk,9,1,68,1963
Earl Brown,9,13,157,1974
Scott Rogers,9,7,186,1980
Martin Holland,9,4,66,1960
Jay Shidler,9,4,183,1980
Cliff Berger,9,13,119,1968
Tom Lagodich,9,7,143,1970
Lon Kruger,9,7,151,1974
Mike Johnson,9,13,149,1971
Ray Smith,9,4,95,1967
Brian Martin,9,1,185,1984
Kelly Knight,9,15,199,1984
Roger Bohnenstiel,9,8,114,1968
Charles Fisher,9,22,206,1983
Ernie Fleming,9,4,140,1971
Glen Johnson,9,11,147,1970
Ray Kirkwasser,9,3,80,1951
Vince Brewer,9,5,74,1962
Butch Joyner,9,5,111,1968
Del Yarbrough,9,15,194,1980
Jeff Dawson,9,6,150,1974
Rick Howat,9,16,152,1971
Mike Williams,9,13,197,1984
Robert Tate,9,18,202,1982
Everett Fopma,9,9,146,1973
Phil Hopson,9,15,199,1983
Chuck White,9,3,70,1963
Terry Dupris,9,1,180,1980
James Terry,9,12,196,1982
Ken Williams,9,10,189,1980
George Reynolds,9,4,117,1969
Paul Cozens,9,16,186,1978
John Wendelkin,9,2,70,1965
Jim Dilling,9,0,0,1952
John Irving,9,10,150,1976
Larry Duckworth,9,9,145,1970
Panayoti Giannakis,9,21,205,1982
Dwight Holliday,9,9,138,1972
Tony Davis,9,3,65,1960
Bill Martin,9,4,144,1976
Stan Eckwood,9,11,177,1979
Harvey Catchings,9,1,138,1973
Doyle Edmiston,9,2,61,1959
Tony Washington,9,16,200,1983
Leonel Marquetti,9,16,199,1981
Bill Nelson,9,4,73,1962
Cedric Oliver,9,12,178,1979
Nate Stokes,9,14,184,1978
Rex Tippitt,9,5,81,1961
Claude Lefevre,9,2,64,1960
Joe Brown,9,3,187,1983
Perry Warbington,9,1,145,1974
Fred Brown,9,11,195,1984
John Brown,9,0,0,1950
Les Anderson,9,3,173,1978
Mitch Arnold,9,8,192,1984
Stanley Lamb,9,16,195,1980
David Maxwell,9,4,188,1983
Tom Sullivan,9,10,139,1972
Benny Shaw,9,6,146,1976
Joe Hobbs,9,1,63,1958
Kessie Mangam,9,4,133,1972
Pierre Bland,9,10,194,1982
Marvin Trotman,9,3,72,1962
Marlow McLain,9,8,192,1983
Jim Tillman,9,18,197,1980
Rubin Montanez,9,10,147,1973
Gary Major,9,14,127,1969
Paul Benec,9,2,71,1962
Fletcher Johnson,9,5,77,1954
Michael Mitchell,9,21,205,1984
Chad Nelson,9,5,175,1978
Larry Harralson,9,4,148,1975
Gene West,9,3,71,1965
Bertrand du Pont,9,8,152,1974
Marlbert Pradd,9,6,74,1965
Terry Thomas,9,7,151,1975
Willie Kerry,9,6,142,1971
Charley Cole,9,14,193,1980
Skip Dillard,9,7,191,1982
Joe Ponsetto,9,6,176,1978
Dick Heise,9,1,63,1957
Jim Gottschall,9,1,137,1970
John Falconi,9,9,153,1974
James Brown,9,6,143,1973
Alex Wynn,9,3,139,1970
Doug Brookins,9,16,160,1975
John Thomas,9,1,141,1976
Ron Goerrs,9,1,73,1954
Ricky Free,9,7,173,1979
Roger Walaszak,9,11,124,1969
Barry Young,9,6,185,1980
Brian Johnson,9,17,200,1981
Emmett Lewis,9,13,179,1979
Dave Logan,9,3,143,1976
Lee Haven,9,2,146,1974
Chuck Gardner,9,3,80,1966
Wayne Tucker,9,2,79,1951
Paul Roba,9,4,187,1981
Jim Brennan,9,3,73,1964
Gordon Smith,9,9,122,1969
Ron Krick,9,5,73,1965
Jack Laub,9,0,0,1950
Sherrod Arnold,9,9,193,1983
George Melton,9,20,204,1982
Melvin Crafter,9,8,187,1980
Steve Bayless,9,10,180,1978
Val Bracey,9,4,170,1979
Paul Botts,9,10,146,1971
Bobby White,9,2,172,1978
Bobby Van Noy,9,14,198,1983
Chris Jones,9,6,75,1962
Gary Stewart,9,2,138,1971
Jerry Davenport,9,15,159,1974
Dean Sears,9,16,200,1982
Ray Green,9,9,145,1971
Gene Ransom,9,9,175,1979
Carl Meier,9,11,155,1974
Bill Duey,9,12,141,1972
Camden Wail,9,5,75,1964
Rod Murray,9,6,135,1972
Lynn Mitchem,9,2,186,1983
Mike Cingiser,9,9,78,1962
Joe Wise,9,12,149,1973
Jim Houston,9,0,0,1956
Bobby Humbles,9,9,179,1978
Joe Billy McDade,9,1,60,1959
Skip Howard,9,8,152,1975
Rich Walker,9,1,137,1971
Ken Boyd,9,10,154,1974
Bill Collins,9,16,156,1976
Mark Raterink,9,12,156,1974
Buddy Cox,9,12,196,1984
Don Heathington,9,0,0,1950
Fred Stokes,9,1,145,1975
Ricky Moreland,9,10,194,1983
Jim Regenold,9,14,143,1972
Andrew Burton,9,8,191,1981
Fly Williams,9,12,152,1976
Greg Turner,9,9,193,1984
Mike Boylan,9,11,148,1973
John Schetzsle,9,1,107,1968
Robert Allen,9,1,92,1967
Rick Taylor,9,15,185,1978
Mike Contreras,9,2,139,1973
Al Nealey,9,1,63,1960
Bill Kennedy,9,11,140,1972
Tom Lee,9,11,147,1971
Eddie Baker,9,2,185,1981
Clinton Wyatt,9,12,191,1980
Ernie Laurent,9,2,93,1967
Robert Rhodes,9,15,159,1975
Mack Daughty,9,11,117,1968
Bill Turner,9,1,78,1966
Tom Schneeburger,9,13,183,1978
Don Payne,9,0,0,1955
Ricky Tunstall,8,17,179,1984
Mike Yugovich,8,4,59,1960
Brian Williams,8,4,72,1966
Bob Pelkington,8,4,65,1964
Joe Gieger,8,8,69,1964
Bill Kirvin,8,7,67,1962
Loy Doty,8,0,0,1950
Mike Howard,8,9,170,1981
Newt Benson,8,0,0,1950
Dale Koehler,8,1,123,1976
Kerry Hughes,8,3,129,1974
Clarence Sherrod,8,15,134,1971
John Schell,8,2,101,1969
Paul Morrow,8,7,70,1954
Mike Cashman,8,2,128,1975
Randy Smithson,8,12,173,1981
Tom Dyksera,8,15,134,1970
Roger Moller,8,5,104,1969
Dave Porter,8,10,171,1982
Tom Cutter,8,11,160,1977
Bob Daniels,8,1,56,1957
Darryl Odom,8,6,168,1984
Stan Boskovich,8,18,140,1976
Larry Woods,8,7,126,1970
Stanley Brewer,8,11,172,1981
Norton Barnhill,8,12,134,1976
Terry Ball,8,3,63,1962
Steve Burks,8,19,180,1982
Harold Rhodes,8,19,167,1977
George Irvine,8,6,125,1970
Bruno Boin,8,7,62,1958
Dean Parsons,8,0,0,1955
Charlie Davis,8,1,120,1971
Keith Valentine,8,14,174,1980
John Wetzel,8,7,75,1966
Monty Knight,8,1,162,1982
Jim Conley,8,10,89,1967
Frank Dobbs,8,21,183,1984
Mike Mulquin,8,19,181,1983
John Olive,8,20,168,1977
Fran O'Hanlon,8,12,131,1970
George Raveling,8,7,62,1960
Tom Brennan,8,5,60,1958
Brooks Ricca,8,0,0,1950
George Kelly,8,3,72,1951
Billy Adcock,8,0,0,1950
Don Bielke,8,4,67,1954
Cavin Anderson,8,15,128,1972
Tim Dominey,8,10,130,1973
Keith McDonald,8,1,148,1979
Ed Gregg,8,9,131,1976
Chris Winans,8,15,177,1984
Doug Terry,8,2,124,1976
Milt Kane,8,4,59,1958
Brett Crawford,8,2,164,1984
Dick Nunneley,8,2,65,1954
Micah Blunt,8,21,182,1982
John Sutter,8,3,122,1971
Larry Swift,8,6,74,1961
Joe Beck,8,0,0,1955
Felix Thurston,8,17,136,1971
Jim Bowles,8,13,112,1969
Pat McKinley,8,17,166,1977
Dave Speicher,8,6,157,1977
George Bush,8,0,0,1950
Brian O'Connor,8,16,177,1981
Jerry Thelen,8,2,70,1961
Bill Bailey,8,12,172,1980
Henry Taylor,8,16,168,1978
Leon Hill,8,4,57,1959
Richard Bryant,8,6,128,1976
Woody Sauldsberry,8,5,60,1957
Doug Boyd,8,8,127,1970
Harold Strothers,8,5,67,1963
Bill Wendlandt,8,9,171,1984
Dan Kruger,8,10,132,1976
J. G. Brosterhos,8,12,132,1973
Walt McGrary,8,15,135,1973
Billy Tucker,8,5,152,1979
Bobby Croft,8,4,123,1970
Danny Schultz,8,3,64,1964
Jim McLoughlin,8,5,167,1984
Al Didriksen,8,0,0,1955
Mel Besdin,8,6,69,1954
Tom Jockle,8,5,74,1951
Jim Brandon,8,3,163,1980
Ken Slappy,8,10,159,1977
Harry Laurie,8,6,98,1968
Mike Rozenski,8,15,141,1975
Curtis Redding,8,8,169,1981
Frank Gilroy,8,22,183,1981
Nestor Cora,8,13,165,1978
Dennis McDermott,8,14,140,1974
Gil Radday,8,5,84,1967
Greg Sanders,8,10,162,1978
Glenn Price,8,9,135,1974
Carl Jackson,8,2,122,1973
George Carter,8,2,81,1967
Bob Barnek,8,4,65,1965
Freddie Crawford,8,1,63,1963
Sam Stith,8,1,56,1960
Gordon Mungier,8,0,0,1952
Don Curry,8,6,61,1960
George McNeil,8,2,70,1966
John Werhas,8,2,57,1960
Brad Jergenson,8,20,182,1984
John Ribock,8,10,129,1971
Jim Fox,8,6,67,1965
Andy Denny,8,2,115,1972
Jay Triano,8,18,179,1981
Dan Terwilliger,8,6,167,1982
Jim Floyd,8,9,122,1972
Dan Callandrillo,8,15,176,1982
Harry Brooks,8,1,64,1954
Dave Mills,8,5,73,1961
Michael McCombs,8,6,168,1983
Leon Simon,8,3,82,1967
Bob Garibaldi,8,7,68,1964
Jim Young,8,5,68,1954
Joe Greenbach,8,0,0,1950
John Cox,8,7,159,1978
John Burks,8,13,126,1972
Russ Gumina,8,8,76,1966
Bob Bartholomew,8,17,178,1981
Robert White,8,17,137,1973
Barry Orms,8,4,96,1968
John Smith,8,15,176,1981
Al Grundy,8,11,90,1967
Joe Schoen,8,2,163,1981
Jim Kopp,8,5,118,1972
Jim Healey,8,11,110,1969
Ralph Telken,8,2,63,1964
Ruel Tucker,8,6,61,1958
Jay Piccola,8,10,136,1974
Bob McCurdy,8,6,132,1975
Kendall Rhine,8,6,67,1964
Steve Rowell,8,14,134,1973
Bill Von Weyhe,8,7,62,1957
Rick Mount,8,13,132,1970
Willie Merriweather,8,6,59,1959
Brant Gibbler,8,5,127,1976
Chuck Lowery,8,6,125,1971
Bruce Campbell,8,1,153,1978
Mark McAndrew,8,14,136,1976
Willy Stoudamire,8,10,123,1972
Rick Raivio,8,16,163,1979
Cincinnatus Powell,8,5,66,1965
Bill Garner,8,8,68,1962
Lloyd Higgins,8,3,95,1968
Bob Hopkins,8,9,72,1954
Trent Johnson,8,21,183,1983
Emery Sammons,8,2,153,1977
Bill Sadler,8,9,171,1983
Art Allen,8,22,170,1977
Allen Jones,8,16,142,1975
Harry Dinnell,8,3,65,1963
James Salters,8,11,171,1980
Mike Lang,8,12,174,1983
Chuck Curtis,8,2,55,1959
Eldridge Broussard,8,2,128,1974
George Fowler,8,15,167,1978
Bob Krulish,8,8,87,1967
Don Carlos,8,4,83,1967
Charley Neal,8,7,133,1975
Bill Harper,8,1,70,1951
Sam McCants,8,16,142,1974
Sam McCarney,8,14,127,1972
Joe Smith,8,12,111,1969
Norville Brown,8,20,182,1983
Wardell Jeffries,8,4,124,1973
Tom Holland,8,4,130,1974
Jerry Clack,8,6,119,1972
Willie Rogers,8,2,94,1968
Warren Fouts,8,2,62,1962
Jim Ellinghausen,8,6,166,1980
Tom Corde,8,11,124,1972
Craig Love,8,2,121,1971
Elliot Beard,8,3,165,1984
Gilbert Salinas,8,6,167,1981
Bob Arnzen,8,4,103,1969
Bob Whitmore,8,9,108,1969
Don Adams,8,1,120,1970
Jim Samo,8,16,135,1970
Stan Curtis,8,9,77,1966
Gary Silc,8,4,66,1963
Tom DeBerry,8,11,133,1976
John Clark,8,17,139,1976
Mark Jellison,8,13,133,1973
Modzel Greer,8,4,164,1980
John Haaven,8,3,58,1957
Glenn Sudhop,8,2,149,1979
Tony Warren,8,6,153,1979
Vic Molodet,8,0,0,1956
Hugo Kappler,8,6,75,1951
Tom Zaligaris,8,12,164,1978
Wayne Jones,8,11,130,1971
Lloyd Terry,8,5,165,1980
Jim Bostic,8,13,139,1975
Paul Brozovich,8,7,169,1984
Dan Tarkanian,8,8,170,1984
Eric Booker,8,16,178,1984
Mike Burns,8,7,168,1982
Earl Evans,8,5,157,1978
Bob Florence,8,13,139,1974
Elbert Miller,8,14,106,1968
Leonard Coulter,8,8,134,1974
Freeman Blade,8,5,131,1975
Roy McPipe,8,16,136,1973
John Stroeder,8,8,168,1980
Ken McKenzie,8,12,138,1975
Merton Bancroft,8,8,107,1969
Roland Martin,8,9,161,1978
John Thomas,8,6,126,1973
Dave Williams,8,5,97,1968
Cob Jarvis,8,8,71,1954
Doug Bolstorff,8,2,57,1957
Larry Pikes,8,3,154,1977
Rick Campbell,8,3,164,1982
Tim Sisneros,8,16,138,1976
Jimmy Powell,8,1,127,1974
Mike Brkovich,8,20,181,1981
Jack Quiggle,8,3,58,1958
Ed Murphy,8,8,160,1978
Otis Jackson,8,13,174,1982
Chris Faggi,8,18,179,1982
Rodney Lee,8,3,150,1979
George Price,8,3,58,1960
Mark Haymore,8,4,151,1979
John Murphy,8,14,140,1975
John Goedeke,8,13,160,1979
Mark Fothergill,8,12,174,1984
Barry Yates,8,12,131,1971
Cebe Price,8,6,61,1957
Brian Nyenhuis,8,9,170,1982
Jerry Homan,8,8,134,1975
Jeff Sewell,8,2,121,1970
Jo Jo Walters,8,19,166,1979
Eric Marsh,8,16,165,1977
Marin Baietti,8,11,103,1968
Bob Warner,8,7,129,1976
Jim Haderlein,8,8,127,1971
Ed Bento,8,6,66,1962
Walter Robertson,8,9,128,1970
Jerry Harkness,8,5,65,1962
Bill Butler,8,7,133,1974
Bill Darragh,8,4,59,1957
Carl Kilpatrick,8,6,158,1978
Robert Brown,8,11,173,1984
Mark Wickman,8,18,170,1978
Arvesta Kelly,8,6,85,1967
Jim Boutin,8,1,62,1964
Larry Tucker,8,3,165,1983
Don Lynch,8,5,60,1960
Clarence Kea,8,9,169,1980
Luke Adams,8,13,132,1971
Bob Mantz,8,2,57,1958
George Davidson,8,7,76,1951
Kurt Kanaskie,8,2,162,1980
Jim Conolly,8,15,175,1980
Jim Phelan,8,8,77,1951
Tim Appleton,8,14,163,1977
Mike Williams,8,7,127,1973
Jim Smith,8,5,124,1971
Harvey Carmichael,8,1,127,1975
Tom Heitz,8,1,163,1984
Dan Issel,8,3,122,1970
Mike Casey,8,11,130,1970
Larry Pursiful,8,1,61,1962
Ruben Vance,8,1,114,1972
Roger Evans,8,3,116,1972
